filename,width,height,class,xmin,ymin,xmax,ymax
image_33_jpg.rf.bf377898fd9dfba7d0e05fa34e6861b0.jpg,640,640,nat,220,200,422,442
IMG_0433_jpg.rf.ace1b07ce0155b97d5aff832742d4781.jpg,640,640,bolt,261,174,366,235
IMG_0433_jpg.rf.ace1b07ce0155b97d5aff832742d4781.jpg,640,640,bolt,193,209,274,292
IMG_0433_jpg.rf.ace1b07ce0155b97d5aff832742d4781.jpg,640,640,bolt,105,211,185,292
IMG_0433_jpg.rf.ace1b07ce0155b97d5aff832742d4781.jpg,640,640,bolt,407,216,498,310
IMG_0433_jpg.rf.ace1b07ce0155b97d5aff832742d4781.jpg,640,640,bolt,277,328,372,415
IMG_0433_jpg.rf.ace1b07ce0155b97d5aff832742d4781.jpg,640,640,bolt,158,326,248,417
IMG_0433_jpg.rf.ace1b07ce0155b97d5aff832742d4781.jpg,640,640,bolt,294,458,379,555
image_55_jpg.rf.de44ee6e7da868a7fa613b58e77eb530.jpg,640,640,bolt,111,105,441,539
image_65_jpg.rf.b5971af29c3177b124a43852a1b6962d.jpg,640,640,nat,299,371,479,543
image_65_jpg.rf.b5971af29c3177b124a43852a1b6962d.jpg,640,640,nat,164,193,320,407
IMG_0471_jpg.rf.90416797097cc804ebe3a31c67636764.jpg,640,640,nat,269,328,365,401
IMG_0471_jpg.rf.90416797097cc804ebe3a31c67636764.jpg,640,640,nat,134,270,224,348
IMG_0471_jpg.rf.90416797097cc804ebe3a31c67636764.jpg,640,640,nat,358,275,464,345
IMG_0471_jpg.rf.90416797097cc804ebe3a31c67636764.jpg,640,640,nat,211,193,304,264
IMG_0471_jpg.rf.90416797097cc804ebe3a31c67636764.jpg,640,640,nat,297,221,382,297
image_73_jpg.rf.42b199b9564243502b90eb81b76d26fd.jpg,640,640,bolt,172,65,478,597
IMG_0443_jpg.rf.2a7833333612f1091a479e7bebff2a7f.jpg,640,640,bolt,235,187,321,258
IMG_0443_jpg.rf.2a7833333612f1091a479e7bebff2a7f.jpg,640,640,bolt,267,313,332,395
image_24_jpg.rf.52b1cb8bdc49d79f9f30e69d22f4f1e5.jpg,640,640,bolt,111,157,537,511
image_49_jpg.rf.f19ae7991b555f96a1e211bd378b9096.jpg,640,640,nat,36,54,611,594
image_28_jpg.rf.ab946b6c22453a263ea90377c470357b.jpg,640,640,bolt,107,148,552,529
image_67_jpg.rf.2b92dd378f679a6f7f70f6822176563c.jpg,640,640,bolt,0,46,640,595
IMG_0448_jpg.rf.ee26d044f5ad0f3d3e17002f8377650b.jpg,640,640,bolt,149,358,273,409
IMG_0448_jpg.rf.ee26d044f5ad0f3d3e17002f8377650b.jpg,640,640,bolt,272,312,336,402
IMG_0448_jpg.rf.ee26d044f5ad0f3d3e17002f8377650b.jpg,640,640,bolt,225,147,333,234
IMG_0448_jpg.rf.ee26d044f5ad0f3d3e17002f8377650b.jpg,640,640,bolt,205,224,321,306
IMG_0448_jpg.rf.ee26d044f5ad0f3d3e17002f8377650b.jpg,640,640,bolt,327,271,434,355
IMG_0448_jpg.rf.ee26d044f5ad0f3d3e17002f8377650b.jpg,640,640,bolt,337,154,447,232
IMG_0448_jpg.rf.ee26d044f5ad0f3d3e17002f8377650b.jpg,640,640,bolt,326,441,444,528
image_57_jpg.rf.caee4215899d5c580b1be1ce35f2c87b.jpg,640,640,nat,243,220,411,411
image_61_jpg.rf.ca6c9c28f43061f88c9cd2d57f1f2fa9.jpg,640,640,bolt,229,166,523,413
