filename,width,height,classy,p_xmin,p_ymin,p_xmax,p_ymax
image_24_jpg.rf.52b1cb8bdc49d79f9f30e69d22f4f1e5.jpg,433.0,354.0,bolt,325,342,758,696
image_28_jpg.rf.ab946b6c22453a263ea90377c470357b.jpg,443.0,354.0,bolt,327,348,770,702
image_33_jpg.rf.bf377898fd9dfba7d0e05fa34e6861b0.jpg,200.0,257.0,nat,322,323,522,580
image_49_jpg.rf.f19ae7991b555f96a1e211bd378b9096.jpg,579.0,546.0,nat,321,308,900,854
image_55_jpg.rf.de44ee6e7da868a7fa613b58e77eb530.jpg,587.0,622.0,bolt,311,317,898,939
image_57_jpg.rf.caee4215899d5c580b1be1ce35f2c87b.jpg,158.0,192.0,nat,324,312,482,504
image_65_jpg.rf.b5971af29c3177b124a43852a1b6962d.jpg,180.0,159.0,nat,392,460,572,619
image_67_jpg.rf.2b92dd378f679a6f7f70f6822176563c.jpg,640.0,585.0,bolt,320,309,960,894
image_73_jpg.rf.42b199b9564243502b90eb81b76d26fd.jpg,309.0,532.0,bolt,323,327,632,859
IMG_0433_jpg.rf.ace1b07ce0155b97d5aff832742d4781.jpg,79.0,86.0,bolt,334,507,413,593
IMG_0443_jpg.rf.2a7833333612f1091a479e7bebff2a7f.jpg,60.0,80.0,bolt,298,355,358,435
IMG_0448_jpg.rf.ee26d044f5ad0f3d3e17002f8377650b.jpg,113.0,81.0,bolt,384,485,497,566
IMG_0471_jpg.rf.90416797097cc804ebe3a31c67636764.jpg,79.0,72.0,nat,180,307,259,379
